team,wins,matches,goal_difference,win_ratio,goal_difference_average,continent
Afghanistan,32.0,117.0,-108.0,0.27350427350427353,-0.9230769230769231,Asia
Albania,92.0,340.0,-203.0,0.27058823529411763,-0.5970588235294118,Europe
Algeria,222.0,516.0,225.0,0.43023255813953487,0.436046511627907,Africa
American Samoa,4.0,45.0,-264.0,0.08888888888888889,-5.866666666666666,Oceania
Andorra,8.0,184.0,-418.0,0.043478260869565216,-2.2717391304347827,Europe
Angola,127.0,367.0,31.0,0.3460490463215259,0.08446866485013624,Africa
Anguilla,1.0,45.0,-211.0,0.022222222222222223,-4.688888888888889,America
Antigua and Barbuda,56.0,189.0,-100.0,0.2962962962962963,-0.5291005291005291,America
Argentina,533.0,988.0,823.0,0.5394736842105263,0.832995951417004,America
Armenia,57.0,228.0,-164.0,0.25,-0.7192982456140351,Asia
Aruba,21.0,120.0,-156.0,0.175,-1.3,America
Australia,254.0,508.0,469.0,0.5,0.9232283464566929,Oceania
Austria,324.0,757.0,188.0,0.42800528401585203,0.24834874504623514,Europe
Azerbaijan,49.0,263.0,-242.0,0.18631178707224336,-0.9201520912547528,Asia
Bahamas,8.0,34.0,-85.0,0.23529411764705882,-2.5,America
Bahrain,175.0,506.0,-3.0,0.3458498023715415,-0.005928853754940711,Asia
Bangladesh,53.0,227.0,-256.0,0.23348017621145375,-1.1277533039647578,Asia
Barbados,82.0,259.0,-108.0,0.3166023166023166,-0.416988416988417,America
Belarus,81.0,269.0,-82.0,0.30111524163568776,-0.3048327137546468,Europe
Belgium,344.0,774.0,208.0,0.4444444444444444,0.268733850129199,Europe
Belize,19.0,82.0,-79.0,0.23170731707317074,-0.9634146341463414,America
Benin,63.0,269.0,-206.0,0.2342007434944238,-0.7657992565055762,Africa
Bermuda,48.0,147.0,-40.0,0.32653061224489793,-0.272108843537415,America
Bhutan,7.0,78.0,-278.0,0.08974358974358974,-3.5641025641025643,Asia
Bolivia,108.0,477.0,-422.0,0.22641509433962265,-0.8846960167714885,America
Bosnia and Herzegovina,91.0,240.0,18.0,0.37916666666666665,0.075,Europe
Botswana,77.0,288.0,-129.0,0.2673611111111111,-0.4479166666666667,Africa
Brazil,624.0,969.0,1262.0,0.6439628482972136,1.302373581011352,America
Bulgaria,240.0,643.0,-37.0,0.37325038880248834,-0.05754276827371695,Europe
Burkina Faso,129.0,398.0,-70.0,0.3241206030150754,-0.17587939698492464,Africa
Burundi,59.0,187.0,-31.0,0.3155080213903743,-0.1657754010695187,Africa
Cambodia,42.0,222.0,-375.0,0.1891891891891892,-1.6891891891891893,Asia
Cameroon,236.0,544.0,189.0,0.4338235294117647,0.3474264705882353,Africa
Canada,146.0,399.0,-48.0,0.3659147869674185,-0.12030075187969924,America
Cape Verde,64.0,176.0,-18.0,0.36363636363636365,-0.10227272727272728,Africa
Cayman Islands,11.0,82.0,-161.0,0.13414634146341464,-1.9634146341463414,America
Central African Republic,20.0,100.0,-93.0,0.2,-0.93,Africa
Chad,23.0,112.0,-101.0,0.20535714285714285,-0.9017857142857143,Africa
Chile,296.0,780.0,-25.0,0.37948717948717947,-0.03205128205128205,America
China,287.0,596.0,421.0,0.4815436241610738,0.7063758389261745,Asia
Colombia,219.0,568.0,33.0,0.3855633802816901,0.058098591549295774,America
Comoros,12.0,66.0,-47.0,0.18181818181818182,-0.7121212121212122,Africa
Congo,124.0,371.0,-48.0,0.33423180592991913,-0.1293800539083558,Africa
Cook Islands,9.0,36.0,-131.0,0.25,-3.638888888888889,Oceania
Costa Rica,263.0,624.0,274.0,0.421474358974359,0.4391025641025641,America
Croatia,178.0,341.0,242.0,0.5219941348973607,0.7096774193548387,Europe
Cuba,116.0,341.0,-67.0,0.34017595307917886,-0.19648093841642228,America
Curaçao,116.0,330.0,-41.0,0.3515151515151515,-0.12424242424242424,America
Cyprus,71.0,374.0,-485.0,0.18983957219251338,-1.2967914438502675,Asia
Czech Republic,172.0,320.0,256.0,0.5375,0.8,Europe
DR Congo,186.0,472.0,141.0,0.3940677966101695,0.298728813559322,Africa
Denmark,372.0,798.0,392.0,0.46616541353383456,0.49122807017543857,Europe
Djibouti,5.0,96.0,-298.0,0.052083333333333336,-3.1041666666666665,Africa
Dominica,33.0,172.0,-202.0,0.19186046511627908,-1.1744186046511629,America
Dominican Republic,39.0,111.0,-50.0,0.35135135135135137,-0.45045045045045046,America
Ecuador,162.0,535.0,-206.0,0.30280373831775703,-0.3850467289719626,America
Egypt,321.0,646.0,413.0,0.4969040247678019,0.6393188854489165,Africa
El Salvador,174.0,526.0,-127.0,0.33079847908745247,-0.2414448669201521,America
England,577.0,1007.0,1247.0,0.5729890764647467,1.2383316782522344,Europe
Equatorial Guinea,31.0,131.0,-98.0,0.2366412213740458,-0.7480916030534351,Africa
Eritrea,11.0,70.0,-75.0,0.15714285714285714,-1.0714285714285714,Africa
Estonia,124.0,498.0,-384.0,0.24899598393574296,-0.7710843373493976,Europe
Eswatini,48.0,239.0,-203.0,0.200836820083682,-0.8493723849372385,Africa
Ethiopia,129.0,362.0,-43.0,0.356353591160221,-0.11878453038674033,Africa
Falkland Islands,0.0,11.0,-58.0,0.0,-5.2727272727272725,America
Faroe Islands,41.0,234.0,-381.0,0.1752136752136752,-1.6282051282051282,Europe
Fiji,90.0,194.0,177.0,0.4639175257731959,0.9123711340206185,Oceania
Finland,196.0,756.0,-680.0,0.25925925925925924,-0.8994708994708994,Europe
France,417.0,817.0,427.0,0.5104039167686658,0.5226438188494492,Europe
French Guiana,45.0,157.0,-49.0,0.28662420382165604,-0.31210191082802546,America
Gabon,124.0,352.0,8.0,0.3522727272727273,0.022727272727272728,Africa
Gambia,55.0,221.0,-103.0,0.248868778280543,-0.4660633484162896,Africa
Georgia,77.0,257.0,-72.0,0.29961089494163423,-0.2801556420233463,Asia
Germany,674.0,1205.0,1183.0,0.5593360995850623,0.9817427385892116,Europe
Ghana,292.0,610.0,368.0,0.4786885245901639,0.6032786885245902,Africa
Gibraltar,14.0,85.0,-204.0,0.16470588235294117,-2.4,Europe
Greece,213.0,557.0,-43.0,0.38240574506283664,-0.07719928186714542,Europe
Greenland,6.0,31.0,-28.0,0.1935483870967742,-0.9032258064516129,America
Grenada,70.0,212.0,-57.0,0.330188679245283,-0.2688679245283019,America
Guadeloupe,91.0,232.0,22.0,0.3922413793103448,0.09482758620689655,America
Guam,21.0,100.0,-355.0,0.21,-3.55,Oceania
Guatemala,161.0,457.0,13.0,0.3522975929978118,0.028446389496717725,America
Guernsey,15.0,41.0,14.0,0.36585365853658536,0.34146341463414637,Europe
Guinea,172.0,478.0,48.0,0.3598326359832636,0.100418410041841,Africa
Guinea-Bissau,43.0,155.0,-91.0,0.27741935483870966,-0.5870967741935483,Africa
Guyana,80.0,267.0,-141.0,0.299625468164794,-0.5280898876404494,America
Haiti,185.0,452.0,53.0,0.4092920353982301,0.1172566371681416,America
Honduras,212.0,531.0,120.0,0.3992467043314501,0.22598870056497175,America
Hong Kong,113.0,375.0,-109.0,0.30133333333333334,-0.2906666666666667,Asia
Hungary,409.0,880.0,465.0,0.4647727272727273,0.5284090909090909,Europe
Iceland,142.0,460.0,-219.0,0.30869565217391304,-0.47608695652173916,Europe
India,144.0,420.0,-132.0,0.34285714285714286,-0.3142857142857143,Asia
Indonesia,208.0,562.0,-38.0,0.3701067615658363,-0.06761565836298933,Asia
Iran,284.0,507.0,559.0,0.5601577909270217,1.1025641025641026,Asia
Iraq,256.0,566.0,352.0,0.45229681978798586,0.6219081272084805,Asia
Isle of Man,12.0,23.0,15.0,0.5217391304347826,0.6521739130434783,Europe
Israel,156.0,439.0,7.0,0.3553530751708428,0.015945330296127564,Asia
Italy,423.0,784.0,634.0,0.5395408163265306,0.8086734693877551,Europe
Ivory Coast,288.0,579.0,330.0,0.49740932642487046,0.5699481865284974,Africa
Jamaica,218.0,573.0,-41.0,0.38045375218150085,-0.07155322862129145,America
Japan,313.0,657.0,365.0,0.4764079147640791,0.5555555555555556,Asia
Jersey,30.0,46.0,37.0,0.6521739130434783,0.8043478260869565,Europe
Jordan,146.0,416.0,42.0,0.35096153846153844,0.10096153846153846,Asia
Kazakhstan,50.0,215.0,-142.0,0.23255813953488372,-0.6604651162790698,Asia
Kenya,218.0,617.0,-75.0,0.353322528363047,-0.12155591572123177,Africa
Kiribati,0.0,10.0,-103.0,0.0,-10.3,Oceania
Kuwait,243.0,583.0,251.0,0.41680960548885077,0.4305317324185249,Asia
Kyrgyzstan,46.0,147.0,-91.0,0.3129251700680272,-0.6190476190476191,Asia
Laos,19.0,150.0,-363.0,0.12666666666666668,-2.42,Asia
Latvia,119.0,413.0,-173.0,0.288135593220339,-0.4188861985472155,Europe
Lebanon,78.0,289.0,-114.0,0.2698961937716263,-0.3944636678200692,Asia
Lesotho,47.0,257.0,-203.0,0.1828793774319066,-0.7898832684824902,Africa
Liberia,70.0,256.0,-134.0,0.2734375,-0.5234375,Africa
Libya,125.0,347.0,31.0,0.36023054755043227,0.0893371757925072,Africa
Liechtenstein,17.0,216.0,-522.0,0.0787037037037037,-2.4166666666666665,Europe
Lithuania,105.0,386.0,-298.0,0.27202072538860106,-0.772020725388601,Europe
Luxembourg,40.0,402.0,-822.0,0.09950248756218906,-2.044776119402985,Europe
Macao,18.0,124.0,-281.0,0.14516129032258066,-2.2661290322580645,Asia
Madagascar,86.0,232.0,-57.0,0.3706896551724138,-0.24568965517241378,Africa
Malawi,189.0,567.0,-79.0,0.3333333333333333,-0.13932980599647266,Africa
Malaysia,236.0,653.0,13.0,0.3614088820826952,0.019908116385911178,Asia
Maldives,49.0,168.0,-142.0,0.2916666666666667,-0.8452380952380952,Asia
Mali,205.0,510.0,72.0,0.4019607843137255,0.1411764705882353,Africa
Malta,52.0,411.0,-683.0,0.12652068126520682,-1.661800486618005,Europe
Martinique,131.0,296.0,125.0,0.44256756756756754,0.4222972972972973,America
Mauritania,42.0,227.0,-190.0,0.18502202643171806,-0.8370044052863436,Africa
Mauritius,68.0,250.0,-117.0,0.272,-0.468,Africa
Mayotte,2.0,17.0,-10.0,0.11764705882352941,-0.5882352941176471,Africa
Mexico,450.0,884.0,611.0,0.5090497737556561,0.6911764705882353,America
Moldova,46.0,252.0,-235.0,0.18253968253968253,-0.9325396825396826,Europe
Monaco,0.0,2.0,-4.0,0.0,-2.0,Europe
Mongolia,17.0,72.0,-127.0,0.2361111111111111,-1.7638888888888888,Asia
Montenegro,42.0,125.0,-16.0,0.336,-0.128,Europe
Montserrat,8.0,39.0,-104.0,0.20512820512820512,-2.6666666666666665,America
Morocco,258.0,544.0,336.0,0.4742647058823529,0.6176470588235294,Africa
Mozambique,106.0,326.0,-71.0,0.32515337423312884,-0.21779141104294478,Africa
Myanmar,150.0,359.0,15.0,0.4178272980501393,0.04178272980501393,Asia
Namibia,66.0,246.0,-102.0,0.2682926829268293,-0.4146341463414634,Africa
Nepal,39.0,186.0,-300.0,0.20967741935483872,-1.6129032258064515,Asia
Netherlands,405.0,791.0,688.0,0.5120101137800253,0.8697850821744627,Europe
New Caledonia,93.0,170.0,246.0,0.5470588235294118,1.4470588235294117,Oceania
New Zealand,140.0,352.0,25.0,0.3977272727272727,0.07102272727272728,Oceania
Nicaragua,31.0,165.0,-298.0,0.18787878787878787,-1.8060606060606061,America
Niger,52.0,220.0,-165.0,0.23636363636363636,-0.75,Africa
Nigeria,271.0,583.0,282.0,0.4648370497427101,0.483704974271012,Africa
Niue,0.0,1.0,-19.0,0.0,-19.0,Oceania
North Korea,144.0,340.0,162.0,0.4235294117647059,0.4764705882352941,Asia
North Macedonia,77.0,257.0,-39.0,0.29961089494163423,-0.1517509727626459,Europe
Northern Ireland,167.0,654.0,-542.0,0.25535168195718655,-0.8287461773700305,Europe
Northern Mariana Islands,2.0,23.0,-82.0,0.08695652173913043,-3.5652173913043477,Oceania
Norway,299.0,803.0,-98.0,0.3723536737235367,-0.12204234122042341,Europe
Oman,175.0,468.0,5.0,0.37393162393162394,0.010683760683760684,Asia
Pakistan,38.0,191.0,-275.0,0.19895287958115182,-1.4397905759162304,Asia
Palau,0.0,2.0,-17.0,0.0,-8.5,Oceania
Palestine,53.0,197.0,-40.0,0.26903553299492383,-0.20304568527918782,Asia
Panama,144.0,450.0,-161.0,0.32,-0.35777777777777775,America
Papua New Guinea,33.0,101.0,50.0,0.32673267326732675,0.49504950495049505,Oceania
Paraguay,260.0,733.0,-95.0,0.35470668485675305,-0.1296043656207367,America
Peru,207.0,644.0,-132.0,0.32142857142857145,-0.20496894409937888,America
Philippines,60.0,226.0,-242.0,0.26548672566371684,-1.0707964601769913,Asia
Poland,349.0,797.0,317.0,0.437892095357591,0.397741530740276,Europe
Portugal,305.0,624.0,363.0,0.48878205128205127,0.5817307692307693,Europe
