tournament,team,wins,matches,goal_difference,goal_difference_average,win_ratio,continent
African Cup of Nations,Algeria,28.0,74.0,8.0,0.10810810810810811,0.3783783783783784,Africa
African Cup of Nations,Angola,4.0,26.0,-9.0,-0.34615384615384615,0.15384615384615385,Africa
African Cup of Nations,Benin,0.0,14.0,-17.0,-1.2142857142857142,0.0,Africa
African Cup of Nations,Botswana,0.0,3.0,-7.0,-2.3333333333333335,0.0,Africa
African Cup of Nations,Burkina Faso,7.0,41.0,-24.0,-0.5853658536585366,0.17073170731707318,Africa
African Cup of Nations,Burundi,0.0,3.0,-4.0,-1.3333333333333333,0.0,Africa
African Cup of Nations,Cameroon,41.0,84.0,47.0,0.5595238095238095,0.4880952380952381,Africa
African Cup of Nations,Cape Verde,1.0,7.0,-1.0,-0.14285714285714285,0.14285714285714285,Africa
African Cup of Nations,Congo,7.0,26.0,-13.0,-0.5,0.2692307692307692,Africa
African Cup of Nations,DR Congo,20.0,73.0,-14.0,-0.1917808219178082,0.273972602739726,Africa
African Cup of Nations,Egypt,57.0,100.0,76.0,0.76,0.57,Africa
African Cup of Nations,Equatorial Guinea,4.0,10.0,-2.0,-0.2,0.4,Africa
African Cup of Nations,Ethiopia,7.0,27.0,-32.0,-1.1851851851851851,0.25925925925925924,Africa
African Cup of Nations,Gabon,6.0,21.0,-7.0,-0.3333333333333333,0.2857142857142857,Africa
African Cup of Nations,Ghana,54.0,99.0,48.0,0.48484848484848486,0.5454545454545454,Africa
African Cup of Nations,Guinea,12.0,43.0,-4.0,-0.09302325581395349,0.27906976744186046,Africa
African Cup of Nations,Guinea-Bissau,0.0,6.0,-7.0,-1.1666666666666667,0.0,Africa
African Cup of Nations,Ivory Coast,42.0,95.0,38.0,0.4,0.4421052631578947,Africa
African Cup of Nations,Kenya,2.0,17.0,-20.0,-1.1764705882352942,0.11764705882352941,Africa
African Cup of Nations,Liberia,1.0,5.0,-2.0,-0.4,0.2,Africa
African Cup of Nations,Libya,3.0,11.0,-1.0,-0.09090909090909091,0.2727272727272727,Africa
African Cup of Nations,Madagascar,2.0,5.0,0.0,0.0,0.4,Africa
African Cup of Nations,Malawi,1.0,6.0,-5.0,-0.8333333333333334,0.16666666666666666,Africa
African Cup of Nations,Mali,17.0,50.0,-5.0,-0.1,0.34,Africa
African Cup of Nations,Mauritania,0.0,3.0,-3.0,-1.0,0.0,Africa
African Cup of Nations,Mauritius,0.0,3.0,-6.0,-2.0,0.0,Africa
African Cup of Nations,Morocco,24.0,65.0,16.0,0.24615384615384617,0.36923076923076925,Africa
African Cup of Nations,Mozambique,0.0,12.0,-22.0,-1.8333333333333333,0.0,Africa
African Cup of Nations,Namibia,0.0,9.0,-14.0,-1.5555555555555556,0.0,Africa
African Cup of Nations,Niger,0.0,6.0,-8.0,-1.3333333333333333,0.0,Africa
African Cup of Nations,Nigeria,51.0,93.0,45.0,0.4838709677419355,0.5483870967741935,Africa
African Cup of Nations,Rwanda,1.0,3.0,0.0,0.0,0.3333333333333333,Africa
African Cup of Nations,Senegal,23.0,60.0,15.0,0.25,0.38333333333333336,Africa
African Cup of Nations,Sierra Leone,1.0,5.0,-9.0,-1.8,0.2,Africa
African Cup of Nations,South Africa,16.0,43.0,3.0,0.06976744186046512,0.37209302325581395,Africa
African Cup of Nations,Sudan,7.0,24.0,-10.0,-0.4166666666666667,0.2916666666666667,Africa
African Cup of Nations,Tanzania,0.0,6.0,-9.0,-1.5,0.0,Africa
African Cup of Nations,Togo,3.0,25.0,-23.0,-0.92,0.12,Africa
African Cup of Nations,Tunisia,23.0,75.0,1.0,0.013333333333333334,0.30666666666666664,Africa
African Cup of Nations,Uganda,4.0,23.0,-17.0,-0.7391304347826086,0.17391304347826086,Africa
African Cup of Nations,Zambia,26.0,67.0,12.0,0.1791044776119403,0.3880597014925373,Africa
African Cup of Nations,Zimbabwe,2.0,12.0,-14.0,-1.1666666666666667,0.16666666666666666,Africa
Copa América,Argentina,127.0,202.0,292.0,1.4455445544554455,0.6287128712871287,America
Copa América,Bolivia,20.0,119.0,-190.0,-1.596638655462185,0.16806722689075632,America
Copa América,Brazil,108.0,191.0,226.0,1.1832460732984293,0.5654450261780105,America
Copa América,Chile,67.0,190.0,-22.0,-0.11578947368421053,0.3526315789473684,America
Copa América,Colombia,47.0,126.0,-52.0,-0.4126984126984127,0.373015873015873,America
Copa América,Costa Rica,5.0,17.0,-14.0,-0.8235294117647058,0.29411764705882354,America
Copa América,Ecuador,16.0,128.0,-195.0,-1.5234375,0.125,America
Copa América,Haiti,0.0,3.0,-11.0,-3.6666666666666665,0.0,America
Copa América,Honduras,3.0,6.0,2.0,0.3333333333333333,0.5,America
Copa América,Jamaica,0.0,6.0,-9.0,-1.5,0.0,America
Copa América,Japan,0.0,6.0,-9.0,-1.5,0.0,Asia
Copa América,Mexico,19.0,48.0,4.0,0.08333333333333333,0.3958333333333333,America
Copa América,Panama,1.0,3.0,-6.0,-2.0,0.3333333333333333,America
Copa América,Paraguay,65.0,179.0,-37.0,-0.20670391061452514,0.36312849162011174,America
Copa América,Peru,57.0,161.0,-25.0,-0.15527950310559005,0.35403726708074534,America
Copa América,Qatar,0.0,3.0,-3.0,-1.0,0.0,Asia
Copa América,United States,5.0,18.0,-11.0,-0.6111111111111112,0.2777777777777778,America
Copa América,Uruguay,112.0,206.0,188.0,0.912621359223301,0.5436893203883495,America
Copa América,Venezuela,8.0,70.0,-128.0,-1.8285714285714285,0.11428571428571428,America
FIFA World Cup,Algeria,3.0,13.0,-6.0,-0.46153846153846156,0.23076923076923078,Africa
FIFA World Cup,Angola,0.0,3.0,-1.0,-0.3333333333333333,0.0,Africa
FIFA World Cup,Argentina,43.0,79.0,49.0,0.620253164556962,0.5443037974683544,America
FIFA World Cup,Australia,2.0,15.0,-18.0,-1.2,0.13333333333333333,Oceania
FIFA World Cup,Austria,11.0,27.0,-8.0,-0.2962962962962963,0.4074074074074074,Europe
FIFA World Cup,Belgium,20.0,48.0,-4.0,-0.08333333333333333,0.4166666666666667,Europe
FIFA World Cup,Bolivia,0.0,5.0,-15.0,-3.0,0.0,America
FIFA World Cup,Bosnia and Herzegovina,1.0,3.0,0.0,0.0,0.3333333333333333,Europe
FIFA World Cup,Brazil,68.0,99.0,114.0,1.1515151515151516,0.6868686868686869,America
FIFA World Cup,Bulgaria,3.0,26.0,-31.0,-1.1923076923076923,0.11538461538461539,Europe
FIFA World Cup,Cameroon,4.0,23.0,-25.0,-1.0869565217391304,0.17391304347826086,Africa
FIFA World Cup,Canada,0.0,3.0,-5.0,-1.6666666666666667,0.0,America
FIFA World Cup,Chile,10.0,31.0,-10.0,-0.3225806451612903,0.3225806451612903,America
FIFA World Cup,China,0.0,3.0,-9.0,-3.0,0.0,Asia
FIFA World Cup,Colombia,9.0,20.0,8.0,0.4,0.45,America
FIFA World Cup,Costa Rica,5.0,17.0,-6.0,-0.35294117647058826,0.29411764705882354,America
FIFA World Cup,Croatia,11.0,23.0,9.0,0.391304347826087,0.4782608695652174,Europe
FIFA World Cup,Cuba,1.0,3.0,-7.0,-2.3333333333333335,0.3333333333333333,America
FIFA World Cup,Czech Republic,1.0,3.0,-1.0,-0.3333333333333333,0.3333333333333333,Europe
FIFA World Cup,DR Congo,0.0,1.0,-2.0,-2.0,0.0,Africa
FIFA World Cup,Denmark,9.0,20.0,4.0,0.2,0.45,Europe
FIFA World Cup,Ecuador,4.0,10.0,-1.0,-0.1,0.4,America
FIFA World Cup,Egypt,0.0,7.0,-7.0,-1.0,0.0,Africa
FIFA World Cup,El Salvador,0.0,6.0,-21.0,-3.5,0.0,America
