date,tournament,team,scored_goals,matches,conceded_goals,continent
1872,Friendly,Scotland,0.0,1.0,0.0,Europe
1873,Friendly,England,4.0,1.0,2.0,Europe
1874,Friendly,Scotland,2.0,1.0,1.0,Europe
1875,Friendly,England,2.0,1.0,2.0,Europe
1876,Friendly,Scotland,7.0,2.0,0.0,Europe
1877,Friendly,England,1.0,1.0,3.0,Europe
1877,Friendly,Wales,0.0,1.0,2.0,Europe
1878,Friendly,Scotland,16.0,2.0,2.0,Europe
1879,Friendly,England,7.0,2.0,5.0,Europe
1879,Friendly,Wales,1.0,2.0,5.0,Europe
1880,Friendly,Scotland,10.0,2.0,5.0,Europe
1880,Friendly,Wales,3.0,2.0,8.0,Europe
1881,Friendly,England,1.0,2.0,7.0,Europe
1881,Friendly,Wales,2.0,2.0,5.0,Europe
1882,Friendly,Northern Ireland,1.0,2.0,20.0,Europe
1882,Friendly,Scotland,10.0,2.0,1.0,Europe
1882,Friendly,Wales,12.0,3.0,9.0,Europe
1883,Friendly,England,14.0,3.0,3.0,Europe
1883,Friendly,Northern Ireland,1.0,2.0,8.0,Europe
1883,Friendly,Wales,1.0,3.0,9.0,Europe
1884,Other,Northern Ireland,1.0,3.0,19.0,Europe
1884,Other,Scotland,10.0,3.0,1.0,Europe
1884,Other,Wales,7.0,3.0,8.0,Europe
1885,Other,England,6.0,3.0,2.0,Europe
1885,Other,Northern Ireland,4.0,3.0,20.0,Europe
1885,Other,Scotland,17.0,3.0,4.0,Europe
1885,Friendly,United States,0.0,1.0,1.0,Americas
1885,Other,Wales,10.0,3.0,11.0,Europe
1886,Other,Northern Ireland,3.0,3.0,18.0,Europe
1886,Other,Scotland,12.0,3.0,4.0,Europe
1886,Friendly,United States,3.0,1.0,2.0,Americas
1886,Other,Wales,7.0,3.0,7.0,Europe
1887,Other,England,13.0,3.0,3.0,Europe
1887,Other,Northern Ireland,5.0,3.0,12.0,Europe
1887,Other,Scotland,9.0,3.0,3.0,Europe
1887,Other,Wales,1.0,3.0,10.0,Europe
1888,Other,England,15.0,3.0,2.0,Europe
1888,Other,Northern Ireland,3.0,3.0,26.0,Europe
1888,Friendly,Scotland,4.0,1.0,0.0,Europe
1888,Other,Scotland,15.0,3.0,8.0,Europe
1888,Other,Wales,13.0,3.0,10.0,Europe
1889,Other,England,12.0,3.0,5.0,Europe
1889,Other,Northern Ireland,2.0,3.0,16.0,Europe
1889,Other,Scotland,10.0,3.0,2.0,Europe
1889,Other,Wales,4.0,3.0,5.0,Europe
1890,Other,Northern Ireland,4.0,3.0,18.0,Europe
1890,Other,Scotland,10.0,3.0,2.0,Europe
1890,Other,Wales,6.0,3.0,10.0,Europe
1891,Other,England,12.0,3.0,3.0,Europe
1891,Other,Northern Ireland,9.0,3.0,10.0,Europe
1891,Other,Scotland,7.0,3.0,6.0,Europe
1891,Other,Wales,6.0,3.0,15.0,Europe
1892,Other,Northern Ireland,3.0,3.0,6.0,Europe
1892,Other,Scotland,10.0,3.0,7.0,Europe
1892,Other,Wales,2.0,3.0,9.0,Europe
1893,Other,England,17.0,3.0,3.0,Europe
1893,Other,Scotland,16.0,3.0,6.0,Europe
1893,Other,Wales,0.0,2.0,14.0,Europe
1894,Other,Northern Ireland,4.0,3.0,8.0,Europe
1894,Other,Scotland,9.0,3.0,5.0,Europe
1894,Other,Wales,7.0,3.0,11.0,Europe
1895,Other,England,13.0,3.0,1.0,Europe
1895,Other,Northern Ireland,3.0,3.0,14.0,Europe
1895,Other,Scotland,5.0,3.0,6.0,Europe
1895,Other,Wales,5.0,3.0,5.0,Europe
1896,Other,Northern Ireland,4.0,3.0,11.0,Europe
1896,Other,Scotland,9.0,3.0,4.0,Europe
1896,Other,Wales,7.0,3.0,14.0,Europe
1897,Other,England,11.0,3.0,2.0,Europe
1897,Other,Northern Ireland,5.0,3.0,14.0,Europe
1897,Other,Scotland,9.0,3.0,4.0,Europe
1897,Other,Wales,5.0,3.0,10.0,Europe
1898,Other,Northern Ireland,3.0,3.0,6.0,Europe
1898,Other,Scotland,9.0,3.0,5.0,Europe
1898,Other,Wales,2.0,3.0,9.0,Europe
1899,Other,England,19.0,3.0,3.0,Europe
1899,Other,Northern Ireland,4.0,3.0,22.0,Europe
1899,Other,Scotland,16.0,3.0,3.0,Europe
1899,Other,Wales,0.0,3.0,11.0,Europe
1900,Other,Northern Ireland,0.0,3.0,7.0,Europe
1900,Other,Scotland,12.0,3.0,3.0,Europe
1900,Other,Wales,5.0,3.0,6.0,Europe
