Year,Winner,Finalist,Third
1930,Uruguay,Argentina,United States
1934,Italy,Czech Republic,Germany
1938,Italy,Hungary,Brazil
1950,Uruguay,Brazil,Sweden
1954,Germany,Hungary,Austria
1958,Brazil,Sweden,France
1962,Brazil,Czech Republic,Chile
1966,England,Germany,Portugal
1970,Brazil,Italy,Germany
1974,Germany,Netherlands,Poland
1978,Argentina,Netherlands,Brazil
1982,Italy,Germany,Poland
1986,Argentina,Germany,France
1990,Germany,Argentina,Italy
1994,Brazil,Italy,Sweden
1998,France,Brazil,Croatia
2002,Brazil,Germany,Turkey
2006,Italy,France,Germany
2010,Spain,Netherlands,Germany
2014,Germany,Argentina,Netherlands
2018,France,Croatia,Belgium
